,meta_pin,meta_year,meta_class,meta_sale_price,char_hd_sf,char_age,char_rooms,char_beds,char_frpl,char_fbath,char_hbath,char_bldg_sf,geo_longitude,geo_latitude
126621,13242080060000,2013.0,203,352500.0,3720.0,55.0,4.0,2.0,0.0,1.0,0.0,1008.0,-87.69038761076558,41.947986644483855
126622,13242080060000,2014.0,278,778000.0,3720.0,56.0,4.0,4.0,0.0,3.0,1.0,2116.0,-87.69038761076558,41.947986644483855
126623,13242080060000,2016.0,278,885000.0,3720.0,58.0,4.0,4.0,0.0,3.0,1.0,2116.0,-87.69038761076558,41.947986644483855
126624,13242080080000,2014.0,203,478000.0,3720.0,56.0,4.0,2.0,0.0,1.0,0.0,1008.0,-87.69038255591536,41.9478220449052
126625,13242080080000,2017.0,203,608000.0,3720.0,59.0,4.0,2.0,0.0,1.0,0.0,1008.0,-87.69038255591536,41.9478220449052
126626,13242080110000,2013.0,203,327000.0,3720.0,55.0,4.0,2.0,0.0,1.0,1.0,1008.0,-87.69037496483901,41.94757513252205
126627,13242080110000,2014.0,278,1010000.0,3720.0,3.0,7.0,4.0,1.0,3.0,1.0,2377.0,-87.69037496483901,41.94757513252205
126628,13242080120000,2014.0,203,390000.0,3720.0,56.0,5.0,3.0,0.0,1.0,0.0,1008.0,-87.69037242908044,41.94749282032584
126629,13242080120000,2016.0,278,1150000.0,3720.0,2.0,7.0,4.0,1.0,3.0,1.0,2377.0,-87.69037242908044,41.94749282032584
126630,13242080130000,2014.0,203,1105000.0,3720.0,56.0,5.0,3.0,0.0,2.0,0.0,1008.0,-87.69036991058981,41.947410534897024
126631,13242080130000,2016.0,278,1050000.0,3720.0,2.0,7.0,4.0,1.0,3.0,1.0,2400.0,-87.69036991058981,41.947410534897024
126632,13242080140000,2013.0,278,924050.0,3720.0,2.0,9.0,4.0,2.0,3.0,1.0,2415.0,-87.69036737445883,41.94732822044152
126633,13242080160000,2019.0,203,360000.0,4503.0,91.0,5.0,3.0,0.0,1.0,0.0,1409.0,-87.68988460016004,41.948411318779264
126634,13242080160000,2020.0,278,1251700.0,4503.0,3.0,8.0,4.0,1.0,3.0,1.0,2898.0,-87.68988460016004,41.948411318779264
126635,13242080170000,2015.0,202,400000.0,3720.0,96.0,4.0,2.0,0.0,1.0,0.0,955.0,-87.6898816927892,41.94832044410487
126636,13242080180000,2017.0,278,1112500.0,3720.0,3.0,5.0,3.0,0.0,1.0,1.0,1457.0,-87.68987906340966,41.94823815584095
126637,13242080230000,2018.0,203,385000.0,3720.0,94.0,4.0,2.0,0.0,1.0,0.0,1751.0,-87.68986590846407,41.947826506031205
126638,13242080240000,2015.0,205,770000.0,3720.0,96.0,8.0,4.0,0.0,2.0,0.0,1962.0,-87.68986328075242,41.94774419236115
126639,13242080260000,2014.0,203,300000.0,3720.0,95.0,6.0,3.0,0.0,2.0,0.0,1764.0,-87.68985802468013,41.94757961976098
126640,13242080260000,2016.0,278,1217500.0,3720.0,2.0,8.0,4.0,2.0,3.0,1.0,2525.0,-87.68985802468013,41.94757961976098
126641,13242080270000,2014.0,202,410000.0,3720.0,95.0,5.0,2.0,0.0,1.0,0.0,955.0,-87.68985539736333,41.94749730572745
126642,13242080270000,2017.0,278,1130000.0,3720.0,3.0,7.0,4.0,2.0,1.0,1.0,2368.0,-87.68985539736333,41.94749730572745
126643,13242080290000,2013.0,203,238100.0,3720.0,108.0,6.0,3.0,0.0,1.0,0.0,1225.0,-87.6898501246225,41.94733267956113
126644,13242080290000,2014.0,206,930000.0,3720.0,109.0,7.0,4.0,1.0,3.0,0.0,2400.0,-87.6898501246225,41.94733267956113
126645,13242080290000,2017.0,206,1010000.0,3720.0,112.0,7.0,4.0,1.0,3.0,0.0,2400.0,-87.6898501246225,41.94733267956113
126646,13242080360000,2014.0,206,850000.0,3750.0,97.0,8.0,4.0,0.0,2.0,0.0,2504.0,-87.6897643609198,41.946991236120326
126648,13242080370000,2019.0,278,1675006.0,3358.0,5.0,7.0,4.0,2.0,2.0,1.0,2811.0,-87.68965930663674,41.94699179821593
126649,13242090020000,2020.0,203,650000.0,3720.0,96.0,5.0,2.0,0.0,1.0,0.0,1060.0,-87.68918310516308,41.948345890173655
126650,13242090090000,2015.0,204,425000.0,3720.0,98.0,8.0,4.0,0.0,2.0,0.0,1807.0,-87.68916408224422,41.947761566203134
126651,13242090090000,2018.0,278,1016000.0,3720.0,4.0,7.0,4.0,1.0,2.0,1.0,2398.0,-87.68916408224422,41.947761566203134
126652,13242090100000,2015.0,202,425000.0,3720.0,91.0,4.0,2.0,0.0,1.0,0.0,955.0,-87.6891613764131,41.94767807332859
126653,13242090100000,2016.0,278,1117500.0,3720.0,2.0,8.0,4.0,0.0,3.0,1.0,2428.0,-87.6891613764131,41.94767807332859
126654,13242090150000,2015.0,278,1000000.0,3406.0,1.0,8.0,4.0,1.0,3.0,1.0,2204.0,-87.68914800318868,41.94724322519816
126655,13242090150000,2018.0,278,1050000.0,3406.0,4.0,8.0,4.0,1.0,3.0,1.0,2204.0,-87.68914800318868,41.94724322519816
126656,13242090150000,2014.0,203,365000.0,3406.0,106.0,5.0,2.0,0.0,1.0,0.0,1243.0,-87.68914800318868,41.94724322519816
126657,13242090420000,2018.0,278,860000.0,3095.0,4.0,8.0,4.0,0.0,3.0,1.0,2395.0,-87.68903992339521,41.94699708091127
126658,13242090430000,2020.0,278,889900.0,3094.0,6.0,8.0,4.0,0.0,3.0,1.0,2422.0,-87.68913090937129,41.94699636751935
126659,13242110080000,2018.0,278,1130000.0,4757.0,15.0,13.0,4.0,0.0,3.0,1.0,3005.0,-87.68972625808748,41.94873408474862
126660,13242110090000,2015.0,278,1165000.0,4899.0,12.0,13.0,4.0,0.0,3.0,1.0,3044.0,-87.68960801849104,41.94873570937943
126661,13242110100000,2014.0,278,1050000.0,4067.0,11.0,13.0,4.0,0.0,3.0,1.0,3044.0,-87.68968446024816,41.94915108345284
126662,13242110120000,2015.0,278,1177500.0,3906.0,12.0,13.0,4.0,0.0,3.0,1.0,3044.0,-87.6899193033558,41.94914711991752
126663,13242110140000,2014.0,278,1099000.0,3906.0,11.0,13.0,4.0,0.0,3.0,1.0,3044.0,-87.69014980771081,41.94914508491007
126664,13242110180000,2016.0,278,1154000.0,4011.0,13.0,13.0,4.0,0.0,3.0,1.0,3044.0,-87.6906150725619,41.94914079251446
126665,13242120010000,2019.0,278,656000.0,4118.0,13.0,13.0,4.0,0.0,3.0,1.0,3044.0,-87.69215430302187,41.947883997420355
126666,13242120010000,2020.0,278,1000000.0,4118.0,14.0,13.0,4.0,0.0,3.0,1.0,3044.0,-87.69215430302187,41.947883997420355
126667,13242120070000,2018.0,278,1062500.0,3907.0,12.0,13.0,4.0,1.0,3.0,1.0,3044.0,-87.69146663016939,41.94788976178597
126668,13242120110000,2014.0,278,1054000.0,3941.0,8.0,13.0,4.0,1.0,3.0,1.0,3044.0,-87.69101084209055,41.947892254006
126669,13242120120000,2017.0,278,1131675.0,4390.0,11.0,13.0,4.0,1.0,3.0,1.0,3014.0,-87.69089051126106,41.94789135642959
126670,13242120120000,2020.0,278,950000.0,4390.0,14.0,13.0,4.0,1.0,3.0,1.0,3014.0,-87.69089051126106,41.94789135642959
126671,13242130020000,2014.0,278,1099000.0,3936.0,8.0,13.0,4.0,0.0,3.0,1.0,3014.0,-87.69203036234431,41.94734659896208
126672,13242130090000,2016.0,278,1123625.0,3936.0,10.0,13.0,4.0,0.0,3.0,1.0,3014.0,-87.69123271579417,41.94734831312321
126673,13242130110000,2016.0,278,1210000.0,3936.0,10.0,13.0,4.0,1.0,3.0,1.0,3044.0,-87.69100481644232,41.9473488011511
126674,13242130120000,2020.0,278,1100000.0,4738.0,14.0,13.0,4.0,0.0,3.0,1.0,3014.0,-87.69087923002613,41.947347646818784
143217,14191010090000,2014.0,278,1400000.0,3710.0,3.0,10.0,5.0,2.0,3.0,0.0,3218.0,-87.68689979389394,41.95347659872962
143218,14191010110000,2015.0,204,737500.0,3720.0,92.0,8.0,3.0,0.0,2.0,1.0,2291.0,-87.68689381061006,41.953311008912614
143220,14191010200000,2015.0,278,1450000.0,3720.0,9.0,8.0,4.0,2.0,3.0,1.0,3576.0,-87.68687008862692,41.95256520616921
143221,14191010230000,2019.0,202,610000.0,3710.0,121.0,5.0,2.0,0.0,1.0,0.0,916.0,-87.68637023407612,41.95348360758911
143225,14191010340000,2017.0,205,999990.0,3720.0,117.0,7.0,4.0,0.0,2.0,0.0,1649.0,-87.68634230257375,41.952572179420414
143226,14191010400000,2020.0,278,1050000.0,3236.0,15.0,8.0,5.0,2.0,3.0,1.0,2760.0,-87.68633736179181,41.952416061383026
143230,14191020100000,2014.0,278,1300000.0,3720.0,9.0,9.0,5.0,2.0,3.0,1.0,3024.0,-87.68566209399215,41.95332936795367
143231,14191020110000,2020.0,278,1500000.0,3720.0,9.0,10.0,5.0,1.0,3.0,0.0,3100.0,-87.6856594598846,41.95324680705549
143232,14191020170000,2019.0,206,1685000.0,3720.0,112.0,13.0,7.0,0.0,4.0,1.0,3938.0,-87.68564370140206,41.95275144194831
143235,14191020250000,2017.0,278,1687500.0,3720.0,3.0,10.0,4.0,2.0,4.0,1.0,3328.0,-87.68514744167878,41.953248693265756
143236,14191020280000,2014.0,203,680000.0,3720.0,111.0,5.0,3.0,0.0,1.0,1.0,1086.0,-87.68513909179944,41.952994202755974
143237,14191020280000,2017.0,278,1525000.0,3720.0,3.0,8.0,4.0,0.0,3.0,1.0,2858.0,-87.68513909179944,41.952994202755974
143238,14191020310000,2019.0,206,1040000.0,3720.0,113.0,8.0,4.0,0.0,2.0,1.0,3674.0,-87.68513096513944,41.95274653263405
143240,14191040060000,2017.0,206,1230000.0,3720.0,119.0,11.0,5.0,0.0,3.0,1.0,2555.0,-87.68324123205862,41.95344610237982
143242,14191040160000,2018.0,278,1225000.0,3720.0,19.0,7.0,3.0,0.0,2.0,1.0,3024.0,-87.68321520029541,41.952609328079056
143248,14191050070000,2020.0,205,1050000.0,3720.0,117.0,7.0,2.0,0.0,1.0,1.0,1962.0,-87.68202771697266,41.9534622390923
143250,14191050090000,2017.0,278,1700000.0,3720.0,3.0,8.0,4.0,0.0,3.0,1.0,3287.0,-87.68202332423309,41.95329780724224
143251,14191050140000,2015.0,204,727000.0,3720.0,112.0,7.0,4.0,0.0,2.0,1.0,2268.0,-87.68201232663463,41.952886771742726
143254,14191050270000,2015.0,278,1975000.0,3720.0,1.0,8.0,4.0,2.0,4.0,2.0,3168.0,-87.68149885759229,41.95295690864718
143255,14191050270000,2018.0,278,1750000.0,3720.0,4.0,8.0,4.0,2.0,4.0,2.0,3168.0,-87.68149885759229,41.95295690864718
143259,14191060080000,2013.0,206,1350000.0,4960.0,123.0,8.0,4.0,1.0,4.0,0.0,3014.0,-87.68081268706929,41.953439215332736
143260,14191060090000,2020.0,206,747000.0,4030.0,122.0,12.0,4.0,0.0,2.0,0.0,3316.0,-87.68081000690209,41.95333976379982
143262,14191060130000,2014.0,278,2075000.0,3720.0,9.0,9.0,4.0,2.0,3.0,1.0,3214.0,-87.68080045757554,41.95298663882465
143263,14191060180000,2018.0,206,1575000.0,4340.0,115.0,10.0,4.0,0.0,2.0,0.0,3128.0,-87.68078880794437,41.95255448590737
143264,14191060230000,2014.0,205,740000.0,3875.0,112.0,8.0,4.0,0.0,1.0,1.0,2152.0,-87.68029604028443,41.95336252783832
143265,14191060230000,2018.0,205,1440000.0,3875.0,116.0,8.0,4.0,0.0,1.0,1.0,2152.0,-87.68029604028443,41.95336252783832
143266,14191060250000,2014.0,205,837500.0,3875.0,118.0,7.0,4.0,0.0,2.0,1.0,1929.0,-87.68029137223593,41.95319112604133
143267,14191060270000,2019.0,206,1120500.0,4030.0,121.0,8.0,4.0,0.0,3.0,1.0,2406.0,-87.68028663383154,41.953017911890214
143272,14191060320000,2016.0,206,1360000.0,3100.0,120.0,8.0,4.0,0.0,2.0,1.0,2686.0,-87.68027574417609,41.95261659090113
143273,14191060370000,2017.0,208,1925000.0,4089.0,9.0,9.0,5.0,1.0,3.0,1.0,4159.0,-87.680273570479,41.95253704183978
143274,14191060380000,2019.0,208,1765000.0,4040.0,11.0,8.0,4.0,1.0,3.0,2.0,4053.0,-87.68027110628985,41.95244704495178
143275,14191060390000,2019.0,295,1211250.0,2445.0,5.0,8.0,4.0,1.0,3.0,1.0,2161.0,-87.68081561154004,41.953576945365626
143276,14191070050000,2017.0,278,1695000.0,3720.0,3.0,9.0,5.0,1.0,3.0,1.0,3154.0,-87.67959666415852,41.95331439187459
143284,14191080060000,2020.0,205,462500.0,3210.0,107.0,8.0,3.0,0.0,3.0,0.0,1999.0,-87.68803387792353,41.95140864726896
143286,14191080250000,2015.0,206,1175000.0,3720.0,102.0,11.0,5.0,0.0,3.0,0.0,2970.0,-87.68754219342843,41.95149946243683
143287,14191080260000,2017.0,206,1383500.0,3720.0,104.0,10.0,5.0,1.0,5.0,1.0,3156.0,-87.68753914654727,41.95141714727037
143289,14191080290000,2017.0,206,1400000.0,3720.0,104.0,11.0,5.0,0.0,4.0,1.0,3017.0,-87.68753000546903,41.9511701454083
143294,14191090090000,2013.0,206,1136000.0,3720.0,103.0,7.0,4.0,1.0,2.0,1.0,2430.0,-87.68683073696454,41.951425489899556
143296,14191090120000,2016.0,278,1700000.0,3720.0,2.0,8.0,6.0,0.0,4.0,1.0,3189.0,-87.6868219046312,41.951179009856666
143297,14191090130000,2014.0,278,1605000.0,3720.0,3.0,10.0,4.0,2.0,3.0,1.0,3267.0,-87.6868189594606,41.9510968184481
143298,14191090130000,2020.0,278,1465000.0,3720.0,9.0,10.0,4.0,2.0,3.0,1.0,3267.0,-87.6868189594606,41.9510968184481
143300,14191090140000,2014.0,278,1649000.0,3720.0,3.0,10.0,5.0,1.0,3.0,1.0,3410.0,-87.68681604858159,41.951014654467954
143305,14191090190000,2017.0,278,1515000.0,3720.0,3.0,8.0,5.0,0.0,3.0,1.0,3100.0,-87.68680133970605,41.950603870431394
143306,14191090230000,2013.0,278,1472000.0,3720.0,2.0,10.0,5.0,2.0,3.0,0.0,3052.0,-87.68632116100535,41.951927502724025
143307,14191090250000,2017.0,278,1520000.0,3720.0,6.0,10.0,5.0,1.0,3.0,0.0,2958.0,-87.68631545051274,41.95176317332146
143309,14191090270000,2019.0,278,1700000.0,3720.0,2.0,8.0,4.0,2.0,4.0,2.0,3228.0,-87.68630977174132,41.95159885962324
143311,14191090370000,2013.0,278,1499000.0,3720.0,2.0,10.0,5.0,1.0,3.0,1.0,3124.0,-87.68628138215003,41.950777233009006
143315,14191100020000,2018.0,205,1190000.0,3720.0,93.0,7.0,4.0,0.0,1.0,1.0,1974.0,-87.68561902334945,41.95202161850693
143317,14191100030000,2014.0,278,1545000.0,3720.0,3.0,8.0,4.0,1.0,3.0,0.0,2764.0,-87.68561625311244,41.95193938644092
143318,14191100030000,2020.0,278,1689990.0,3720.0,9.0,8.0,4.0,1.0,3.0,0.0,2764.0,-87.68561625311244,41.95193938644092
143319,14191100070000,2019.0,206,1375000.0,3720.0,109.0,8.0,4.0,0.0,2.0,0.0,2602.0,-87.68560528335826,41.95161045812932
143320,14191100070000,2013.0,206,1235000.0,3720.0,103.0,8.0,4.0,0.0,2.0,0.0,2602.0,-87.68560528335826,41.95161045812932
143322,14191100120000,2020.0,203,650000.0,3720.0,105.0,7.0,3.0,0.0,1.0,0.0,1519.0,-87.68559154292751,41.95119924284798
143323,14191100170000,2014.0,278,1515000.0,3720.0,6.0,8.0,4.0,2.0,2.0,1.0,3014.0,-87.68557782096475,41.95078802634881
143324,14191100180000,2014.0,278,1582000.0,3720.0,3.0,8.0,4.0,0.0,3.0,1.0,3580.0,-87.68557507030114,41.95070579530604
143325,14191100180000,2017.0,278,1458750.0,3720.0,6.0,8.0,4.0,0.0,3.0,1.0,3580.0,-87.68557507030114,41.95070579530604
143327,14191100240000,2013.0,278,1440000.0,3720.0,2.0,11.0,6.0,3.0,4.0,1.0,3252.0,-87.6850985819522,41.95186566627477
143328,14191100240000,2016.0,278,1625000.0,3720.0,5.0,11.0,6.0,3.0,4.0,1.0,3252.0,-87.6850985819522,41.95186566627477
143329,14191100300000,2015.0,205,725000.0,3720.0,112.0,8.0,4.0,0.0,2.0,0.0,1549.0,-87.68508248399858,41.951371946600865
143330,14191100300000,2018.0,208,1720000.0,3720.0,4.0,9.0,6.0,2.0,4.0,2.0,3818.0,-87.68508248399858,41.951371946600865
